"cardnum_amount_month_diff_avg_1","cardnum_amount_month_diff_sum_1","cardnum_amount_avg_1","cardnum_amount_avg_3","cardnum_amount_month_diff_sum_3","merchantnum_amount_month_diff_max_1","cardnum_amount_week_diff_sum_3","cardnum_amount_week_diff_sum_1","merchantnum_amount_sum_1","cardnum_amount_sum_1","cardnum_amount_max_1","merchantnum_amount_avg_1","merchantnum_amount_week_diff_avg_1","cardnum_amount_week_diff_sum_7","cardnum_amount_avg_7","cardnum_amount_sum_3","merchantnum_amount_max_3","cardnum_amount_month_diff_avg_7","merchantnum_amount_month_diff_sum_1","cardnum_amount_month_diff_sum_15","cardnum_amount_week_diff_sum_15","merchantnum_amount_month_diff_avg_3","cardnum_amount_week_diff_max_3","cardnum_amount_max_3","cardnum_amount_month_diff_avg_15","Fraud"
302.35083358122,302.35083358122,726,726,302.35083358122,302.35083358122,322.799678959303,322.799678959303,1452,726,726,726,322.799678959303,322.799678959303,726,726,726,302.35083358122,604.701667162439,5370.02052544474,5396.25971138973,302.35083358122,322.799678959303,726,767.145789349248,0
-408.202499752114,-1224.60749925634,15.4466666666667,14.76,-1635.55666567512,-347.49916641878,-1471.54454959987,-1097.84544575919,342.27,46.34,27.2,11.409,-369.986148586397,-1849.49300291127,14.898,59.04,76.15,-408.75116641878,-12367.2049925634,-4831.89999702537,-4477.37017847527,-415.281455575407,-354.195148586397,27.2,-402.658333085447,0
-315.191022186202,-315.191022186202,70.89,760.445,677.790867271957,-315.191022186202,742.260531207697,-304.539147751606,70.89,70.89,70.89,70.89,-304.539147751606,-559.71054760892,301.618333333333,1520.89,622.62,-125.84672429237,-315.191022186202,-755.080345754219,-559.71054760892,-301.638143844045,1046.7996789593,1450,-125.84672429237,0
-26.9031105418413,-107.612442167365,430.115,271.08,-1213.70623727361,-286.708110541841,-893.072442420854,79.0169585926222,238.3,1720.46,1485.11,119.15,-291.210760351844,-893.072442420854,271.08,1897.56,301.79,-173.386605324801,-675.736221083683,-585.582678643633,-280.499055427988,-270.814546334538,1074.74923964816,1485.11,-48.7985565536361,0
-362.689782672112,-7253.79565344224,3.68,3.68,-7253.79565344224,-339.169782672112,-7794.36906622789,-7794.36906622789,145.83,73.6,4.37,4.7041935483871,-388.694259763007,-24475.8758719584,3.71295081967213,73.6,55,-362.65683185244,-11211.6332628355,-36857.9014714486,-37455.3914911982,-358.264398056727,-389.028453311394,4.37,-387.977910225775,0
-257.733940146367,-257.733940146367,119,70.475,-602.153722818479,-257.733940146367,-645.846906622789,-274.398453311394,400.57,119,119,9.77,-383.628453311394,-2272.61994803017,25.9366666666667,140.95,119,-342.160475584488,-15045.521546001,-3498.46089755593,-4087.64398952144,-363.050147144584,-274.398453311394,119,-233.230726503729,0
-188.24696969697,-1129.48181818182,195.966666666667,349.970769230769,-537.522649068349,37.1563636363637,-460.345835603175,-1112.57089151838,1038.74,1175.8,421.37,346.246666666667,-35.1484819197302,-460.345835603175,349.970769230769,4549.62,554.38,-41.3478960821807,-113.900909090909,-537.522649068349,-460.345835603175,-130.315495128752,1858.60089615932,2245,-41.3478960821807,0
867.85083358122,867.85083358122,1291.5,1291.5,867.85083358122,867.85083358122,871.533608343297,871.533608343297,1519.5,1291.5,1291.5,759.75,339.783608343297,794.935155031903,804.15,1291.5,1291.5,363.816361519689,672.201667162439,727.632723039378,794.935155031903,336.10083358122,871.533608343297,1291.5,363.816361519689,0
-77.8043892025892,-77.8043892025892,325.01,325.01,-77.8043892025892,-77.8043892025892,-94.9563916567026,-94.9563916567026,325.01,325.01,325.01,325.01,-94.9563916567026,-94.9563916567026,325.01,325.01,325.01,-77.8043892025892,-77.8043892025892,-77.8043892025892,-94.9563916567026,-77.8043892025892,-94.9563916567026,325.01,-77.8043892025892,0
-265.974495670996,-265.974495670996,99,99,-265.974495670996,-265.974495670996,-304.200321040697,-304.200321040697,99,99,99,99,-304.200321040697,379.8332873026,601.5,99,99,236.525504329004,-265.974495670996,473.051008658009,379.8332873026,-265.974495670996,-304.200321040697,99,236.525504329004,0
